"GENE"	"EVENT"	"label"	"Category_Num"	"COORD"	"LENGTH"	"FullCO"	"COMPLEX"	"Sample"	"PSI"	"Quality_Score_Value"	"Quality_Score_Type"	"Group"	"Category"	"Colour"	"Species"	"Event_Num"	"ORF"	"PRC2_Component"	"Length_bp"	"COORD_hg38"	"PMID"	"short_vst_id"	"Num_Samples"	"Category_Short"	"median_PSI"
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Epithelial
(6)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Breast_Epith_a"	81.39	"SOK"	"S1"	"Breast_Epith"	"Epithelial"	"firebrick1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	6	"Epithe."	81.39
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Cerebellum_a"	53.25	"OK"	"S1"	"Cerebellum"	"Neuronal"	"dodgerblue"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Cerebellum_c"	59.19	"OK"	"S1"	"Cerebellum"	"Neuronal"	"dodgerblue"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_293T"	93.6	"VLOW"	"S1"	"HEK293T"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_EndoBH1C_a"	89.55	"SOK"	"S1"	"EndoBH1C"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_Gm12878"	92.43	"SOK"	"S1"	"Gm12878"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_HeLa"	84.7	"SOK"	"S1"	"HeLa"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_K562"	94.35	"SOK"	"S1"	"K562"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_LP1"	95.99	"OK"	"S1"	"LP1"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_MB231"	95.24	"SOK"	"S1"	"MB231"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_MCF7"	87.23	"SOK"	"S1"	"MCF7"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_SHSY5Y_noRA"	92.09	"SOK"	"S1"	"SHSY5Y"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Cell lines
(11)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"CL_SHSY5Y_RA"	93.36	"LOW"	"S1"	"SHSY5Y"	"Cell lines"	"darkorange1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	11	"Cell lines"	92.89500000000001
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Colon_b"	84.41	"VLOW"	"S1"	"Colon"	"Other"	"navajowhite2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Colon_sigmoid"	87.29	"LOW"	"S1"	"Colon"	"Other"	"navajowhite2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Cortex"	73.29	"SOK"	"S1"	"Cortex"	"Neuronal"	"deepskyblue4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_4C_a_C"	100	"VLOW"	"S1"	"Embr_4C"	"Embryonic"	"darkgoldenrod2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_Cortex_13_17wpc"	71.25	"SOK"	"S1"	"Embr_Cortex"	"Neuronal"	"deepskyblue1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_Forebrain_9_12wpc"	68.35	"SOK"	"S1"	"Embr_Cortex"	"Neuronal"	"deepskyblue1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_Forebrain_St13_14"	68.43	"OK"	"S1"	"Embr_Cortex"	"Neuronal"	"deepskyblue1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_Forebrain_St17_20"	60.36	"OK"	"S1"	"Embr_Cortex"	"Neuronal"	"deepskyblue1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Embr_Forebrain_St22_23"	64.75	"SOK"	"S1"	"Embr_Cortex"	"Neuronal"	"deepskyblue1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Epithelial
(6)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"EndothCells"	93.48	"SOK"	"S1"	"EndothCells"	"Epithelial"	"firebrick1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	6	"Epithe."	81.39
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"ESC_H1_a"	81.58	"VLOW"	"S1"	"ESC_H1"	"Embryonic"	"darkgoldenrod2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"ESC_H1_b"	80.85	"LOW"	"S1"	"ESC_H1"	"Embryonic"	"darkgoldenrod2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"ESC_H1_c"	84.01	"SOK"	"S1"	"ESC_H1"	"Embryonic"	"darkgoldenrod2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"ESC_H1_d"	85.73	"SOK"	"S1"	"ESC_H1"	"Embryonic"	"darkgoldenrod2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Epithelial
(6)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Fibroblasts"	71.91	"VLOW"	"S1"	"Fibroblasts"	"Epithelial"	"firebrick1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	6	"Epithe."	81.39
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Frontal_Gyrus_old"	74.65	"VLOW"	"S1"	"Frontal_Gyrus"	"Neuronal"	"deepskyblue4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Frontal_Gyrus_young"	64.32	"VLOW"	"S1"	"Frontal_Gyrus"	"Neuronal"	"deepskyblue4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"GLS_cells"	83.67	"SOK"	"S1"	"GLS_cells"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Heart_a"	80	"VLOW"	"S1"	"Heart"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Heart_b"	61.1	"OK"	"S1"	"Heart"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Heart_c"	76.35	"SOK"	"S1"	"Heart"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"HFDPC"	65.06	"SOK"	"S1"	"HFDPC"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"HMEpC_a"	84.82	"LOW"	"S1"	"HMEpC"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Lung_e"	84.06	"SOK"	"S1"	"Lung"	"Other"	"darkolivegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Lung_f"	80.17	"SOK"	"S1"	"Lung"	"Other"	"darkolivegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Lymph_node_b"	91.67	"SOK"	"S1"	"Lymph_node"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Lymph_node_c"	91.97	"SOK"	"S1"	"Lymph_node"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Melanocytes"	92.28	"SOK"	"S1"	"Melanocytes"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"MonoNucCells"	92.94	"OK"	"S1"	"MonoNucCells"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"MSC"	63.51	"SOK"	"S1"	"MSC"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Muscle_b"	81.88	"LOW"	"S1"	"Muscle"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Muscle_d"	48.3	"LOW"	"S1"	"Muscle"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Muscle_e"	63.9	"VLOW"	"S1"	"Muscle"	"Other"	"palegreen2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NCC_Cranial_c"	82.86	"SOK"	"S1"	"NCC_Cranial"	"Embryonic"	"darkgoldenrod3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NCC_default_b"	77.99	"LOW"	"S1"	"NCC_default"	"Embryonic"	"darkgoldenrod3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NCC_Enteric_b"	87.57	"OK"	"S1"	"NCC_Enteric"	"Embryonic"	"darkgoldenrod3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Embryonic
(24)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NCC_Melano_biased_b"	66.71	"LOW"	"S1"	"NCC_Melano"	"Embryonic"	"darkgoldenrod3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	24	"Embryo."	82.86
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NPC_a"	90.06	"SOK"	"S1"	"NPC"	"Neuronal"	"deepskyblue2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"NPC_b"	75	"VLOW"	"S1"	"NPC"	"Neuronal"	"deepskyblue2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Oligodendrocytes"	100	"VLOW"	"S1"	"Glia"	"Neuronal"	"deepskyblue2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Ovary_a"	84.03	"SOK"	"S1"	"Ovary"	"Other"	"deeppink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Ovary_b"	86.93	"SOK"	"S1"	"Ovary"	"Other"	"deeppink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Pancreas_Alpha_Old"	92.13	"VLOW"	"S1"	"Pancreas"	"Other"	"aquamarine2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Pancreas_Alpha_Young"	93.54	"LOW"	"S1"	"Pancreas"	"Other"	"aquamarine2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
