GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Species	Group	Category
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	ExtraEmbr_13dpc_cde	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	ExtraEmbr_13dpc_fgh	98.88	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Eye_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	ForeLimb_Early_ab	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	ForeLimb_Late_a	99.74	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Full_Newborn_12dpp_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Full_Newborn_1dpp_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Full_Newborn_25dpp_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Heart_gh	100	LOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Heart_k	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Intestine_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Kidney_ghk	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Liver_ghi	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Liver_k	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Lung_gh	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Muscle_gh	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Ovary_M	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Pancreas_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Placenta_13dpc_klm	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Spermatids_ab	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Spermatocytes_ab	97.23	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Spleen_h	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Stomach_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Testis_a	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Testis_M	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Thyroid_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Tongue_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Uterus_a	100	SOK	S1	Opossum	TBA	TBA
