GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_B	100	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_C	64.89	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_D	73.29	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_13_17wpc	82.4	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_9_12wpc	79.09	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St13_14	74.42	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St17_20	76.64	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St22_23	77.19	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_ICM_a_A	100	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Morula_a_A	81.17	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Morula_a_B	77.68	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_TE_a_A	77.25	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_TE_a_B	90.32	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EndomStromCells	100	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EndothCells	83.64	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EpithelialCells	92.27	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_a	67.93	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_b	87.06	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_c	83.81	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_d	85.5	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H9_a	83.61	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H9_b	98.6	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Fibroblasts	85.43	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Frontal_Gyrus_old	57.7	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Frontal_Gyrus_young	62.07	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	GLS_cells	88.56	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_a	73.4	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_b	87.63	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_c	NA	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	HFDPC	88.69	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	HMEpC_a	84.06	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	iPS_a	85.71	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	iPS_b	77.66	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_d	100	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_e	69.82	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_f	75.08	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_a	82.2	VLOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_b	76.35	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_c	96.6	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_b	82.83	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_e	87.65	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_f	84.13	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lymph_node_b	88.04	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lymph_node_c	90.93	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Melanocytes	95.39	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Microglia	96.8	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	MonoNucCells	95.63	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	MSC	84.19	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_b	73.92	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_d	75.89	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_e	89.86	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NCC_Cranial_c	79.02	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NCC_default_b	74.38	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NCC_Enteric_b	77.72	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NCC_Melano_biased_b	83.36	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Neuroblastoma	71.36	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Neurons	85.75	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Neurons_Cortex_KCl_0h	89.67	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Neurons_Cortex_KCl_1h	85.12	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Neurons_Cortex_KCl_6h	76.86	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NPC_a	84.15	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	NPC_b	79.8	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Oligodendrocytes	73.82	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Oocyte_a_A	100	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Ovary_a	81.02	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Ovary_b	84.76	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Acinar_Old	92.35	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Acinar_Young	93.27	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Alpha_Old	85.61	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Alpha_Young	86.36	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Beta_Old	87.11	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Beta_Young	91.33	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Duct_Old	78.96	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Pancreas_Duct_Young	88.78	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Placenta_a	81.73	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Placenta_b	92.41	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Placenta_c	83.1	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Placenta_Epith	88.92	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Prostate_b	93.31	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Prostate_c	87.99	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Prostate_d	86.37	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Retina_a	80.87	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Retina_macular	84.87	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Retina_peripheral	81.89	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Skin_a	67.61	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Skin_b	93.86	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Skin_c	86.74	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Skin_d	88.95	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Small_intestine	90.57	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Spleen_a	88.59	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Spleen_b	93.23	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Stomach_a	79.57	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Stomach_b	88.04	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Sup_Temporal_Gyrus	87.99	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Testis_a	93.44	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Testis_b	92.57	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Testis_c	95.11	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Thymus_a	90.16	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Thymus_b	87.61	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Thyroid_b	91.36	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Thyroid_c	89.5	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Thyroid_d	78.69	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	WBC_d	87.92	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	WBC_e	87.59	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Whole_Brain_b	86.45	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Zygote_a_A	82.99	VLOW	S1
