GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Species	Group	Category
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Brain_a	97.36	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Heart_a	98.85	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Kidney_a	91.83	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Liver_a	89.79	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Lung_a	92.16	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Foetal_Muscle_a	92.85	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Gall_Bladder_a	84.84	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Heart_a	96.22	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Hypothalamus_a	96.69	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	ICM_f	85.08	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Intestine_a	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Kidney_a	78.04	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Kidney_b	89.8	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Kidney_c	89.6	LOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Kidney_Cortex_a	92.78	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Kidney_Medulla_a	83.24	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Liver_a	86.87	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Liver_b	89.31	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Liver_c	83.5	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Liver_d	84	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Lung_a	82.42	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Lung_b	89.36	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Lymph_Node_a	96.15	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Lymph_Node_b	86.15	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Lymph_Node_c	87.07	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Mammary_Gland_a	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Mammary_Gland_b	94.4	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Milk_Cells_a	88.16	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_b	94.49	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_biceps	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_c	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_Intercostal_a	90.39	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_LD_a	95.68	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Muscle_LD_b	97.22	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_GV_a	86.77	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_GV_b	89.57	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_MII_a	92.69	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_MII_b	100	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_MII_c	100	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Oocyte_MII_d	92.8	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Ovary_b	86.59	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Ovary_c	75.36	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Ovary_d	96.27	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Pituitary_Gland_a	79.86	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Placenta_a	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Placenta_b	95.13	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Retina_a	93.41	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Salivary_Gland_a	84.86	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Skin_a	94.68	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Skin_bc	81.52	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Skin_d	85.74	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Skin_e	90.33	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Spleen_a	90.36	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Spleen_b	84.71	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Stomach_b	81.47	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Testis_a	77.59	LOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Testis_c	97	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Thymus_a	82.35	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Thyroid_Gland_a	85.98	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Tonge_a	100	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Uterus_a	93.51	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	WBC_a	86.16	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	WBC_b	80.9	SOK	S1	Cow	TBA	TBA
