Red_fox	GCF_003160815.1	NW_020356556v1	252886	252955	-
Tiger	GCF_018350195.1	NC_056673.1	19739712	19739781	+
Cat	felCat9	chrE1	20003562	20003631	+
Steller_sea_lion	GCF_004028035.1	NW_020998658v1	5874502	5874571	+
Weddell_seal	lepWed1	KB715714	369305	369374	-
Gray_seal	GCF_012393455.1	NW_023403835.1	284477	284546	+
Pacific_walrus	odoRosDiv1	KB228976	870399	870468	-
Big_brown_bat	eptFus1	JH977654	6668777	6668846	-
Davids_myotis_bat	myoDav1	KB107558	2421002	2421071	-
Microbat	myoLuc2	GL430163	829074	829143	-
Megabat	pteVam1	scaffold_9154	26765	26834	-
Black_flying-Fox	pteAle1	KB031150	18175726	18175795	-
Hairy_big-Eared_bat	GCA_004026765.1	PVJI01007351.1	51342	51411	-
Indian_false_vampire	GCA_004026885.1	PVJL010002049.1	20245	20314	+
Indian_flying_fox	GCF_902729225.1	NW_024349799.1	11341529	11341598	-
Pangolin	manPen1	KN009941	67302	67371	-
Elephant	loxAfr3	scaffold_31	1412296	1412365	+
Manatee	triMan1	JH594744	3605886	3605955	+
Tenrec	echTel2	JH980319	7158477	7158546	+
Cape_golden_mole	chrAsi1	JH823263	219454	219523	+
Cape_elephant_shrew	eleEdw1	JH947223	5055937	5056006	-
Aardvark	oryAfe1	JH863760	4050534	4050603	-
Southern_tamandua	GCA_004025105.1	PVIF010005662.1	34818	34887	+
Giant_anteater	GCA_004026745.1	PVIY010005204.1	67392	67461	-
Hoffmanns_two-Toed_sloth	GCA_000164785.2	KN188924.1	59088	59157	-
Southern_three-Banded_armadillo	GCA_004025125.1	PVIB010001169.1	16794	16863	+
Armadillo	dasNov3	JH566127	117518	117587	+
Eastern_quoll	GCA_020854095.1	CM037000.1	31683974	31684043	+
Yellow-Footed_antechinus	GCA_016432865.1	CM028220.1	32772735	32772804	+
Tasmanian_devil	sarHar1	chr4_GL857000_random	4099248	4099317	-
Common_brushtail	GCF_011100635.1	NC_050579.1	38410681	38410750	+
Koala	GCF_002099425.1	NW_018344096v1	3713881	3713950	-
Wombat	GCF_900497805.2	NW_020954546v1	28882795	28882864	+
Monito_del_monte	GCF_019393635.1	NC_057864.1	459733071	459733140	-
Agile_gracile_opossum	GCF_016433145.1	NC_058133.1	483721712	483721781	-
Opossum	monDom5	chr2	503899586	503899655	-
Australian_echidna	GCF_015852505.1	NC_052080.1	24388473	24388542	+
Platypus	ornAna2	chrUn_DS181164v1	3634703	3634772	-
Chicken	galGal6	chr18	6593920	6593989	+
Turkey	melGal5	chr20	8263173	8263242	-
Golden_eagle	aquChr2	KN265711v1	4164724	4164793	-
Gyrfalcon	GCF_015220075.1	NC_051187.1	4682936	4683005	-
Peregrine_falcon	falPer1	KB390482	77295	77364	-
Saker_falcon	falChe1	KB398051	1341463	1341532	-
Zebra_finch	taeGut2	chr18	3766106	3766175	-
Medium_ground_finch	geoFor1	JH739985	1903755	1903824	+
Collared_flycatcher	ficAlb2	chr18	8765022	8765091	+
Tibetan_ground_jay	pseHum1	KB221220	1558406	1558475	-
Budgerigar	melUnd1	JH556571	2580050	2580119	-
Mallard_duck	anaPla1	KB742588	850881	850950	+
Rock_pigeon	colLiv1	KB375400	181921	181990	-
Scarlet_macaw	araMac1	KE078073	6152	6221	-
Parrot	amaVit1	KB287040	7407	7476	+
Brown_kiwi	aptMan1	NW_014002486v1	1849504	1849573	-
Eastafrican_grey_crowned-Crane	GCA_011004875.1	chr18	4674561	4674630	-
Kakapo	GCF_004027225.2	chr14	8698392	8698461	+
American_alligator	allMis1	JH735928	897789	897858	-
Chinese_softshell_turtle	pelSin1	JH209303	6190674	6190743	+
Painted_turtle	chrPic2	chrUn_KK082918v1	1962968	1963037	+
Green_seaturtle	cheMyd1	KB514364	3176062	3176131	-
Spiny_softshell_turtle	apaSpi1	KB930797	3558658	3558727	+
Lizard	anoCar2	chrUn_GL343198	1454808	1454877	+
Garter_snake	thaSir1	NW_013658907v1	170744	170813	-
Xenopus_tropicalis	xenTro10	chr10	52008558	52008627	-
Frog_laevi	xenLae2	chr9_10S	40376077	40376146	-
Two-Lined_caecilian	GCF_901001135.1	chr4	355286663	355286732	+
Coelacanth	latCha1	JH126741	1916719	1916788	-
Zebrafish-A	danRer11	chr3	35862657	35862726	-
Zebrafish-B	danRer11	chr6	18533185	18533254	+
Fugu-A	fr3	chr17	1276756	1276825	-
Fugu-B	fr3	chr5	11492738	11492807	-
Yellowbelly_pufferfish	takFla1	KE120362	179941	180010	-
Tetraodon	tetNig2	chr3	14618795	14618864	-
Medaka-A	oryLat2	chr8	772384	772453	-
Medaka-B	oryLat2	chr1	11781315	11781384	-
Zebra_mbuna	mayZeb1	JH720541	1925975	1926044	+
Stickleback	gasAcu1	chrIX	17391273	17391342	-
Lyretail_cichlid-A	GCF_000239395.1	NW_006272012v1	8323225	8323294	+
Lyretail_cichlid-B	GCF_000239395.1	NW_006272086v1	591482	591551	-
Nile_tilapia	oreNil2	chrLG6	20443039	20443108	+
Flier_cichlid	GCF_007364275.1	chr1	24546802	24546871	+
Pundamilia_nyererei	punNye1	JH419439	538731	538800	+
Burtons_mouthbreeder	hapBur1	JH425525	587353	587422	+
Turquoise_killifish-A	GCF_001465895.1	chrsgr08	11544694	11544763	+
Turquoise_killifish-B	GCF_001465895.1	chrUn_NW_015446375v1	13722	13791	+
Guppy-A	GCF_000633615.1	chrLG1	22575646	22575715	+
Guppy-B	GCF_000633615.1	chrLG8	20373579	20373648	+
Princess_of_burundi	neoBri1	JH422284	8323225	8323294	+
Southern_platyfish	xipMac1	JH556750	1311387	1311456	+
River_trout	GCF_901001165.1	chr14	67147788	67147857	+
Northern_pike	GCF_004634155.1	chrLG09	15836049	15836118	-
Sterlet	GCF_010645085.1	NC_048339.1	32188945	32189014	+
Atlantic_cod	GCF_902167405.1	chr3	7287127	7287196	-
Sockeye_salmon	GCF_006149115.1	chrLG15	5229457	5229526	-
European_perch	GCF_010015445.1	NC_053112.1	23554463	23554532	-
Live_sharksucker	GCF_900963305.1	chr1	16429048	16429117	+
Electric_eel	GCF_003665695.1	NW_020826123v1	502801	502870	+
Wolf_eel	GCF_004355925.1	NW_022280056v1	5585264	5585333	-
Zig-Zag_eel	GCF_900324485.1	NW_020535864v1	24119060	24119129	-
Great_white_shark	GCF_017639515.1	NC_054488.1	59862843	59862912	-
Whale_shark	GCF_001642345.1	NW_018035221v1	10611	10680	-
Zebra_shark	GCF_022316705.1	NC_063407.1	681458	681527	+
Whitespotted_bamboo_shark	GCF_004010195.1	NC_057733.1	52366973	52367042	-
Thorny_skate	GCF_010909765.2	NC_045981.1	35110432	35110501	-
Smaller_spotted_catshark	GCF_902713615.1	NC_052163.1	5500087	5500156	+
Elephant_shark	calMil1	KI635864	111976	112045	+
